osmid,highway,oneway,reversed,length,lanes,name,width,est_width,bridge,maxspeed,access,longitude,latitude
27674078,residential,False,True,54.014,nan,16th C Main Road,nan,nan,nan,nan,nan,77.62517589999999,12.935000599999999
1159872650,tertiary,False,False,112.824,2,8th Main Road,nan,6.1,nan,nan,nan,77.62543544744257,12.934566795786816
1159872650,tertiary,False,True,26.806,2,8th Main Road,nan,6.1,nan,nan,nan,77.62488984020145,12.934900584508764
24299078,residential,False,False,42.025,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.63682305,12.9260474
27790761,residential,False,False,69.325,nan,3rd Main Road,nan,nan,nan,nan,nan,77.6365978,12.925766000000001
27790761,residential,False,True,53.868,nan,3rd Main Road,nan,nan,nan,nan,nan,77.63665685000001,12.92631695
24299078,residential,False,True,168.781,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.63586268093664,12.925956139788292
24299078,residential,False,False,54.269,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.63725299999999,12.92594395
24299078,residential,False,True,42.025,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.63682305,12.9260474
27789870,residential,False,True,127.644,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63709685,12.92658715
27789870,residential,False,False,65.926,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63700071111532,12.925722667208499
38042287,tertiary,False,False,52.681,nan,7th Cross Road,nan,nan,nan,nan,nan,77.62284515,12.9313972
1150874214,primary,True,False,148.82999999999998,2,Mahayogi Vemana Road,nan,nan,nan,nan,nan,77.62237851404865,12.93086664452105
27445936,residential,False,False,84.908,nan,16th Main Road,nan,nan,nan,nan,nan,77.62353705000001,12.927017949999998
27445936,residential,False,True,78.432,nan,16th Main Road,nan,nan,nan,nan,nan,77.62378655,12.927710999999999
27785711,residential,False,False,210.248,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.62455975,12.92701055
27785711,residential,False,True,204.393,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.6276786,12.925726650000001
1159872650,tertiary,False,False,87.943,2,8th Main Road,nan,6.1,nan,nan,nan,77.62842265237684,12.924992549213329
1159872650,tertiary,False,True,89.495,2,8th Main Road,nan,6.1,nan,nan,nan,77.62861842582853,12.925764001916658
27785717,residential,False,False,73.087,nan,5th Cross Road,nan,nan,nan,nan,nan,77.6255748,12.927996450000002
269436421,residential,False,True,62.698,nan,13th Main Road,nan,nan,nan,nan,nan,77.6257905,12.92760435
269436421,residential,False,False,303.994,nan,13th Main Road,nan,nan,nan,nan,nan,77.62635131688575,12.929160025073552
27445936,residential,False,False,65.043,nan,16th Main Road,nan,nan,nan,nan,nan,77.6240072,12.928319250000001
27445936,residential,False,True,79.486,nan,16th Main Road,nan,nan,nan,nan,nan,77.62422849999999,12.9289323
27785717,residential,False,False,53.99,nan,5th Cross Road,nan,nan,nan,nan,nan,77.6238778,12.9286888
27785717,residential,False,True,68.29,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62439805,12.928476150000002
27785717,residential,False,False,68.29,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62439805,12.928476150000002
27785717,residential,False,True,67.549,nan,5th Cross Road,nan,nan,nan,nan,nan,77.624976,12.928239949999998
27785730,residential,False,False,262.254,nan,15th Main Road,nan,nan,nan,nan,nan,77.62511864421276,12.929459652257911
27785743,residential,False,False,282.49,nan,14th Main Road,nan,nan,nan,nan,nan,77.6257043,12.929317850000002
38042287,tertiary,False,False,73.654,nan,7th Cross Road,nan,nan,nan,nan,nan,77.62648335,12.9304805
38042287,tertiary,False,True,64.872,nan,7th Cross Road,nan,nan,nan,nan,nan,77.62584695,12.93053755
27445936,residential,False,False,79.486,nan,16th Main Road,nan,nan,nan,nan,nan,77.62422849999999,12.9289323
27445936,residential,False,True,53.045,nan,16th Main Road,nan,nan,nan,nan,nan,77.62443675,12.929492549999999
27785733,residential,False,False,199.422,nan,6th Cross Road,nan,nan,nan,nan,nan,77.6235117,12.929640299999999
27785733,residential,False,True,63.816,nan,6th Cross Road,nan,nan,nan,nan,nan,77.6224042,12.930126
1110164319,primary,True,False,86.13900000000001,2,Mahayogi Vemana Road,nan,nan,nan,nan,nan,77.62199100276176,12.929879898902783
27785733,residential,False,False,63.816,nan,6th Cross Road,nan,nan,nan,nan,nan,77.6224042,12.930126
27785733,residential,False,True,199.422,nan,6th Cross Road,nan,nan,nan,nan,nan,77.6235117,12.929640299999999
27785740,residential,False,True,48.120000000000005,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62275901046247,12.93021074554554
27785740,residential,False,False,49.227,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62293115,12.93061505
27785740,residential,False,True,50.805,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62310805,12.9310305
27785741,residential,False,False,193.047,nan,6th B Cross Road,nan,nan,nan,nan,nan,77.6238387,12.93048185
27445936,residential,False,False,49.881,nan,16th Main Road,nan,nan,nan,nan,nan,77.6245916,12.9299298
27445936,residential,False,True,55.092,nan,16th Main Road,nan,nan,nan,nan,nan,77.62475075,12.930375300000001
27785741,residential,False,True,193.047,nan,6th B Cross Road,nan,nan,nan,nan,nan,77.6238387,12.93048185
27785740,residential,False,True,49.227,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62293115,12.93061505
27785742,residential,False,False,197.792,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62368405,12.930063
27785740,residential,False,False,48.120000000000005,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62275901046247,12.93021074554554
27445936,residential,False,False,53.045,nan,16th Main Road,nan,nan,nan,nan,nan,77.62443675,12.929492549999999
27445936,residential,False,True,49.881,nan,16th Main Road,nan,nan,nan,nan,nan,77.6245916,12.9299298
27785742,residential,False,True,197.792,nan,6th A Cross Road,nan,nan,nan,nan,nan,77.62368405,12.930063
27785717,residential,False,False,67.549,nan,5th Cross Road,nan,nan,nan,nan,nan,77.624976,12.928239949999998
27785717,residential,False,True,73.087,nan,5th Cross Road,nan,nan,nan,nan,nan,77.6255748,12.927996450000002
27785743,residential,False,True,282.49,nan,14th Main Road,nan,nan,nan,nan,nan,77.6257043,12.929317850000002
27785717,residential,False,False,59.24,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62339605,12.928885699999999
27785717,residential,False,True,53.99,nan,5th Cross Road,nan,nan,nan,nan,nan,77.6238778,12.9286888
27785748,residential,False,False,228.552,nan,17th Main Road,nan,nan,nan,nan,nan,77.62329034999999,12.92781595
27785717,residential,False,False,152.368,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62249575,12.929253699999999
27785717,residential,False,True,59.24,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62339605,12.928885699999999
1123860236,residential,False,False,60.428,nan,18th Main Road,nan,nan,nan,nan,nan,77.62304205,12.9287358
27785750,residential,False,False,154.954,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.62191545,12.9278421
1123860236,residential,False,True,60.984,nan,18th Main Road,nan,nan,nan,nan,nan,77.6226699,12.9278111
"[1311668058, 1123860236]",residential,False,False,56.574,nan,18th Main Road,nan,nan,nan,nan,nan,77.62247195909781,12.92731894632354
27785751,residential,False,False,153.554,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62211640000001,12.9283266
1123860236,residential,False,False,60.984,nan,18th Main Road,nan,nan,nan,nan,nan,77.6226699,12.9278111
1123860236,residential,False,True,49.743,nan,18th Main Road,nan,nan,nan,nan,nan,77.62285635,12.92827465
27785751,residential,False,True,153.554,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62211640000001,12.9283266
1110164319,primary,True,False,55.242,2,Mahayogi Vemana Road,nan,nan,nan,nan,nan,77.62136195,12.9283576
27785752,residential,False,False,153.523,nan,4th Cross Road,nan,nan,nan,nan,nan,77.62229554999999,12.928769100000002
1123860236,residential,False,False,49.743,nan,18th Main Road,nan,nan,nan,nan,nan,77.62285635,12.92827465
1123860236,residential,False,True,60.428,nan,18th Main Road,nan,nan,nan,nan,nan,77.62304205,12.9287358
27777244,primary,True,False,137.412,2,Mahayogi Vemana Road,nan,nan,nan,nan,nan,77.62603595,12.9364729
27785772,residential,False,False,62.157,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62671639999999,12.936649549999998
27674078,residential,False,False,131.47,nan,16th C Main Road,nan,nan,nan,nan,nan,77.62644,12.9360568
27785772,residential,False,False,50.467,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62706084999999,12.936270449999999
27785772,residential,False,True,62.157,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62671639999999,12.936649549999998
27785772,residential,False,True,42.577,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62756934999999,12.9357392
27785781,residential,False,True,103.559,nan,16th Main Road,nan,nan,nan,nan,nan,77.62732445,12.93531695
27785781,residential,False,False,58.669000000000004,nan,16th Main Road,nan,nan,nan,nan,nan,77.62789981969662,12.93578192884443
27785777,residential,False,True,49.772,nan,12th Main Road,nan,nan,nan,nan,nan,77.6277504,12.933016349999999
1159872650,tertiary,False,False,27.897,2,8th Main Road,nan,6.1,nan,nan,nan,77.62765255,12.9327835
1159872650,tertiary,False,True,149.473,2,8th Main Road,nan,6.1,nan,nan,nan,77.62710869522986,12.933379452756714
27785781,residential,False,False,53.575,nan,16th Main Road,nan,nan,nan,nan,nan,77.6261872,12.934380449999999
1159872650,tertiary,False,True,17.216,2,8th Main Road,nan,6.1,nan,nan,nan,77.62594345,12.934255750000002
1159872650,tertiary,False,False,77.439,2,8th Main Road,nan,6.1,nan,nan,nan,77.62631343571695,12.934029840563051
27785783,residential,False,False,60.516,nan,15th Main Road,nan,nan,nan,nan,nan,77.62683425,12.93401245
1159872650,tertiary,False,False,149.473,2,8th Main Road,nan,6.1,nan,nan,nan,77.62710869522984,12.933379452756713
1159872650,tertiary,False,True,77.439,2,8th Main Road,nan,6.1,nan,nan,nan,77.62631343571694,12.934029840563051
27785783,residential,False,True,9.215,nan,15th Main Road,nan,nan,nan,nan,nan,77.62875030000001,12.93537775
